isodate,offer,salary,contract_type,start_hour,end_hour,hours_worked,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_worked,state,municipality,scholarship,experience,languages
2020-08-01,becario recursos humanos,5000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Miguel Hidalgo,Licenciatura,6m - 1 año,No es requisito
2020-08-01,becario auditoria,5000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Miguel Hidalgo,Licenciatura,No especificada,No es requisito
2020-08-01,gerente operaciones,30000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Cuauhtémoc,Licenciatura,6m - 1 año,No es requisito
2020-08-01,ingeniero mantenimiento inmueble,24000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Cuauhtémoc,Licenciatura,6m - 1 año,No es requisito
2020-08-01,coordinador instalaciones,25000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Cuauhtémoc,Licenciatura,6m - 1 año,No es requisito
2020-08-01,oficial impuestos internos,15000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Cuauhtémoc,Licenciatura,6m - 1 año,No es requisito
2020-08-01,oficial comercio exterior,15000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Cuauhtémoc,Licenciatura,No especificada,No es requisito
2020-08-01,odontologo general,10000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Gustavo A. Madero,Licenciatura,6m - 1 año,No es requisito
2020-08-01,contador jr,15000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Gustavo A. Madero,Licenciatura,6m - 1 año,No es requisito
2020-08-01,auxiliar limpieza,5000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Ciudad de México,Cuauhtémoc,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-01,ensamblador partes automotrices,6000,Contrato por tiempo indeterminado,700,1600,9.0,1,1,1,1,1,1,0,6,Guanajuato,Irapuato,Prepa o vocacional,No especificada,No es requisito
2020-08-01,operadores produccion,6000,Contrato por tiempo indeterminado,700,1500,8.0,1,1,1,1,1,1,0,6,Guanajuato,Salamanca,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-01,empleado produccion,6000,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,0,0,5,Guanajuato,Celaya,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-01,operador produccion,6000,Contrato por tiempo indeterminado,700,1500,8.0,1,1,1,1,1,1,0,6,Guanajuato,Silao de la Victoria,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-01,promotor credito,5500,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Guerrero,Florencio Villarreal,Licenciatura,6m - 1 año,No es requisito
2020-08-01,tecnico mecanico automotriz,8000,Contrato por tiempo indeterminado,900,1900,10.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Profesional técnico,2 - 3 años,No es requisito
2020-08-01,almacenista  para empresa botanas,4500,Contrato por tiempo indeterminado,800,1900,11.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-01,auxiliar carga y descarga,3746,Contrato por tiempo indeterminado,900,1800,9.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-01,auxiliar almacen,5500,Contrato por tiempo indeterminado,900,1800,9.0,1,1,1,1,1,1,0,6,Jalisco,Zapopan,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-01,operador produccion ensamble tarjetas,4700,Contrato por tiempo indeterminado,700,1500,8.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-01,operador produccion cartonera,4983,Contrato por tiempo indeterminado,600,1400,8.0,1,1,1,1,1,1,0,6,Jalisco,Guadalajara,Secundaria/sec. técnica,No especificada,No es requisito
